Date,Price,Open,High,Low,Change %
21-Jul-14,"1,311.90","1,311.05","1,318.51","1,307.01",0.08%
18-Jul-14,"1,310.90","1,318.70","1,324.75","1,304.57",-0.56%
17-Jul-14,"1,318.25","1,300.24","1,324.65","1,297.85",1.45%
16-Jul-14,"1,299.37","1,294.40","1,304.40","1,292.90",0.38%
15-Jul-14,"1,294.45","1,306.85","1,314.25","1,292.05",-0.97%
14-Jul-14,"1,307.15","1,338.45","1,339.71","1,303.21",-2.32%
11-Jul-14,"1,338.15","1,335.81","1,339.54","1,333.87",0.19%
10-Jul-14,"1,335.55","1,319.34","1,345.65","1,319.34",0.67%
9-Jul-14,"1,326.70","1,319.69","1,332.69","1,318.50",0.59%
8-Jul-14,"1,318.95","1,319.75","1,325.35","1,313.45",-0.09%
7-Jul-14,"1,320.20","1,320.16","1,320.30","1,311.90",-0.03%
4-Jul-14,"1,320.55","1,320.29","1,323.80","1,318.80",0.06%
3-Jul-14,"1,319.80","1,327.70","1,327.70","1,309.95",-0.58%
2-Jul-14,"1,327.45","1,325.58","1,332.21","1,321.32",0.13%
1-Jul-14,"1,325.75","1,327.15","1,332.41","1,323.72",-0.13%
30-Jun-14,"1,327.50","1,315.80","1,329.41","1,310.21",0.92%
27-Jun-14,"1,315.35","1,317.91","1,322.31","1,312.76",-0.20%
26-Jun-14,"1,317.95","1,318.65","1,320.15","1,306.25",-0.12%
25-Jun-14,"1,319.50","1,318.74","1,325.15","1,310.80",0.09%
24-Jun-14,"1,318.30","1,318.54","1,326.60","1,314.15",0.02%
23-Jun-14,"1,318.10","1,313.70","1,318.61","1,309.91",0.25%
20-Jun-14,"1,314.82","1,320.20","1,322.40","1,306.75",-0.40%
19-Jun-14,"1,320.10","1,278.44","1,322.10","1,276.01",3.26%
18-Jun-14,"1,278.40","1,271.30","1,280.00","1,266.96",0.54%
17-Jun-14,"1,271.50","1,271.65","1,273.56","1,259.16",-0.01%
16-Jun-14,"1,271.60","1,277.06","1,285.16","1,270.51",-0.42%
13-Jun-14,"1,277.00","1,273.69","1,278.20","1,271.00",0.29%
12-Jun-14,"1,273.36","1,261.49","1,275.00","1,260.05",1.00%
11-Jun-14,"1,260.74","1,260.49","1,265.50","1,258.00",0.00%
10-Jun-14,"1,260.80","1,252.15","1,263.31","1,250.21",0.70%
9-Jun-14,"1,252.08","1,253.79","1,257.70","1,251.76",-0.05%
6-Jun-14,"1,252.73","1,253.69","1,258.00","1,246.31",-0.07%
5-Jun-14,"1,253.60","1,243.80","1,256.81","1,241.21",0.79%
4-Jun-14,"1,243.80","1,245.24","1,250.00","1,243.50",-0.07%
3-Jun-14,"1,244.65","1,244.39","1,248.15","1,241.06",0.02%
2-Jun-14,"1,244.35","1,250.89","1,250.89","1,241.04",-0.54%
30-May-14,"1,251.05","1,256.00","1,260.46","1,242.35",-0.40%
29-May-14,"1,256.05","1,258.79","1,260.50","1,251.55",-0.19%
28-May-14,"1,258.50","1,263.70","1,267.69","1,256.02",-0.41%
27-May-14,"1,263.70","1,292.95","1,293.70","1,263.50",-2.27%
26-May-14,"1,293.05","1,292.71","1,294.41","1,290.91",0.00%
23-May-14,"1,293.11","1,294.04","1,295.95","1,287.99",-0.06%
22-May-14,"1,293.85","1,292.04","1,303.85","1,290.05",0.15%
21-May-14,"1,291.85","1,294.15","1,296.60","1,283.45",-0.19%
20-May-14,"1,294.25","1,292.15","1,297.05","1,286.15",0.18%
19-May-14,"1,291.95","1,293.42","1,305.25","1,289.66",-0.14%
16-May-14,"1,293.70","1,296.61","1,298.76","1,287.85",-0.20%
15-May-14,"1,296.35","1,305.45","1,307.35","1,291.15",-0.71%
